condition_id,question,yes_token_id,volume,created_at,resolved_at,outcome_resolved,price_count,final_price,volatility_24h,resolution_jump,description
0xfdcd333ff42c2908a1c1ba56435e9de40969c32c1e83a1c2bc76352a74c5c0d8,2024 presidential election: GOP wins by 65-104,7616200168087679909520446105950285742392284096432045522969789820944838280581,7563202.909916,2024-01-08T21:19:54.593Z,2024-11-04T12:00:00Z,,14.0,0.2,0.0415853002421439,,
0x2a9c818392b7e213bebe13ef773d2ecfe637221dbe04c4b9f47a3ce890f1cf4c,2024 presidential election: GOP wins by 35-64,107390049390358131192470382018885046753276046579323899532999151577054727204097,6753406.418423,2024-01-08T21:19:54.641Z,2024-11-04T12:00:00Z,,14.0,0.135,0.0267715451587371,,
0x8651d7d8b6f27328ad61fab52940f3e689c73695d622e193df138b19685da421,2024 presidential election: GOP wins by 15-34,77649026382213877138153966649551404921672543352938596532281164750961184750506,5040359.62268,2024-01-08T21:19:54.646Z,2024-11-04T12:00:00Z,,14.0,0.055,0.0691021898756293,,
0x768eb43d1b7a745e0df1bb6050ab54aa3975fbbde6e23f4aa04cb527f5ffed2e,2024 presidential election: GOP wins by 1-4,79086902367494146250288799827118631783807623864486807335302788365567801974260,5813309.892014,2024-01-08T21:19:54.65Z,2024-11-04T12:00:00Z,,14.0,0.015,0.0239784635968389,,
0x28f66bed374181b08fa7b7eead51d69a4a1af868f8e7ff6944c649822d76aa03,2024 presidential election: GOP wins by 5-14,11673418683358866316301085387751523068048753966544150945611303267854659423322,5436305.368101,2024-01-08T21:19:54.65Z,2024-11-04T12:00:00Z,,14.0,0.025,0.0409603617593378,,
0x9c9c47de9c871b6cfbae8956f3586f09ae131c44f73e478bc824c106489dd930,2024 presidential election: Democrats win by 0-4,84759855875787376013070966191829270380532139665613953557972586200540529795281,5777920.118906,2024-01-08T21:20:45.024Z,2024-11-04T12:00:00Z,,14.0,0.0675,0.0237889415161106,,
0x272461ac34da7a85f4c7f6cad291b10b9268061e5813cad8c9cb9897cf0d94a9,2024 presidential election: Democrats win by 5-14,71018617251430864046344590528333955328584101403098703990890731434467520361394,6235007.012558,2024-01-08T21:24:21.852Z,2024-11-04T12:00:00Z,,14.0,0.053,0.0885483692158044,,
0xbe3afc95f538c106696a2b76a1eb6e2191b622b224ae9d888343ade752c634f1,2024 presidential election: Democrats win by 15-34,24480816455214308229531096762668154996473106215947694133124367155661709295355,5813696.52381,2024-01-08T21:24:21.946Z,2024-11-04T12:00:00Z,,14.0,0.052,0.0326562819921899,,
0xba8ded3f29006bb62e05590ebe5e04dc24e129e5c9d01e66e2943def1f780806,2024 presidential election: Democrats win by 35-64,55025728191360973219838021150407777764858944236363961405036384833102664242636,4503321.804578,2024-01-08T21:25:28.425Z,2024-11-04T12:00:00Z,,14.0,0.08,0.0413966294525049,,
0xfcb031253ecf0d6b9f75e3630dee3033ab6c8ee9cce0a3e47285b0d15d717b32,2024 presidential election: Democrats win by 65-104,88735821972129906164249182027715270538559976912140139667598209541927628533669,5777360.064778,2024-01-08T21:25:28.49Z,2024-11-04T12:00:00Z,,14.0,0.132,0.0120336096769984,,
0x23df7c359c5641fceed71bd62edda6a4a4997b66566d137a5e639434c8444b2c,2024 presidential election: Democrats win by 105-154,6958226261986895321894171664134250727726877795295745054057860512934310352857,6153981.286456,2024-01-08T21:26:42.847Z,2024-11-04T12:00:00Z,,14.0,0.0455,0.0486795263488716,,
0xff5c1e73e31ad495136fcafce90710a3a1771a96f07116db60aeaae095c0ec29,2024 presidential election: Democrats win by 215+,101420809795991050463357193190190217433473974978220642065802556532442264744912,6016787.147049,2024-01-08T21:27:34.486Z,2024-11-04T12:00:00Z,,14.0,0.0495,0.1028250133132415,,
0x5b0d7b5bd4c83e129c1918e6a301b910f442297c8ad791a5f80a30dfe941bcb2,Boeing Max 9 cleared to fly by Friday?,55620147592978836382840947373404336458629662770698330247941181897216578367305,9935.339364,2024-01-08T21:35:49.842Z,2024-01-12T00:00:00Z,,72.0,0.0065,0.1443849667649732,,
0x911d086ef50a087b694d40ffa105b8a384a3275aa66ff4fa66e55da1ff91f6b3,Will Donald J. Trump win the 2024 Republican presidential nomination?,59148051098887930522073798732825622149012805909987461569002068477591645842343,6074886.86245,2024-01-08T22:01:41.041Z,2024-07-13T00:00:00Z,,145.0,0.9955,0.0003608031627783,,
0x7703a1a7d3834391fe4121aa80c562bff05c9f4476ac59002b746b10e0a1050e,Will Ron DeSantis win the 2024 Republican Presidential Nomination?,72617564319258094817075884979740787617526271533416402804843182784071940697251,416207.426158,2024-01-08T22:01:41.139Z,2024-07-13T00:00:00Z,,145.0,0.0005,0.0,,
0xd35c80d2f97f129c9297139425e0e19fc8ce596af45a68cb5fde2ec9309d5392,Will Vivek Ramaswamy win the 2024 Republican Presidential Nomination?,101254748381406585873617235607582354349742745868141770929772966695498596581507,452582.181605,2024-01-08T22:01:41.147Z,2024-07-13T00:00:00Z,,145.0,0.0015,0.0928611242975073,,
0x2a73336e8c3ef5370ec96357f575fdbf5e2a457f012a04cad85da6ab07b2f8dc,Will Nikki Haley win the 2024 Republican Presidential Nomination?,43745061594549626939183888530294719836847085560900268909634157861936766548579,854534.257974,2024-01-08T22:01:41.149Z,2024-07-13T00:00:00Z,,145.0,0.0025,0.0750117580089535,,
0x653483009043f1663360bc35ed8fb542d3f9453916082d20ff025adaa2fe7032,Will Joe Biden win the 2024 Democratic Presidential Nomination?,29771515314065403331935508893946579645282141892225585852084723308418208825505,57519438.444639,2024-01-08T22:29:46.401Z,2024-08-18T12:00:00Z,,14.0,0.0005,0.0,,
0xd6f4c41fd20b8c6d5b48d528ead981d8fdf3da99d05018443e2d5bc60085e3dd,Will Gavin Newsom win the 2024 Democratic Presidential Nomination?,17271282640034103271682737572094837186921498503512408359915534513146889691691,37514692.524769,2024-01-08T22:29:46.56Z,2024-08-19T00:00:00Z,,12.0,0.0005,0.3290635626787449,,
